canonical_smiles,document_year,molecule_chembl_id,molecule_pref_name,pchembl_value,standard_type,standard_units,standard_value,type,units,value,target_name,target_id,pIC50,potency_class
CC(=O)Nc1ccc(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NC(C)(C)C)c2ccsc2)cc1,2013,CHEMBL2442079,,5.11,IC50,nM,7720.0,IC50,uM,7.72,Main Protease (3CLpro),CHEMBL3927,5.112382699664264,Low (1–10 µM)
O=C(CSc1c[nH]c2ccccc12)NCc1ccc(C(F)(F)F)cc1,2021,CHEMBL4863973,,5.1,IC50,nM,7940.0,IC50,uM,7.94,RdRp (nsp12),CHEMBL4523582,5.100179497572904,Low (1–10 µM)
O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CCC1,2013,CHEMBL2442063,,5.09,IC50,nM,8100.0,IC50,uM,8.1,Main Protease (3CLpro),CHEMBL3927,5.0915149811213505,Low (1–10 µM)
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,2021,CHEMBL304784,,5.07,IC50,nM,8590.14,pIC50,,5.066,RdRp (nsp12),CHEMBL4523582,5.06599975808587,Low (1–10 µM)
COc1ccccc1CNC(=O)CSc1c[nH]c2cccc(Br)c12,2021,CHEMBL4857654,,5.06,IC50,nM,8710.0,IC50,uM,8.71,RdRp (nsp12),CHEMBL4523582,5.059981844992337,Low (1–10 µM)
O=C(CSc1c[nH]c2cc(Br)ccc12)NCc1ccc(Cl)c(Cl)c1,2021,CHEMBL4846173,,5.06,IC50,nM,8710.0,IC50,uM,8.71,RdRp (nsp12),CHEMBL4523582,5.059981844992337,Low (1–10 µM)
CN(C)CCOc1ccc(CNC(=O)CSc2cn(C)c3ccccc23)cc1,2021,CHEMBL4850314,,5.05,IC50,nM,8910.0,IC50,uM,8.91,RdRp (nsp12),CHEMBL4523582,5.050122295963125,Low (1–10 µM)
CN(C)CCOc1ccc(CNC(=O)CSc2c[nH]c3ccccc23)cc1,2021,CHEMBL4855167,,5.04,IC50,nM,9080.0,IC50,uM,9.08,RdRp (nsp12),CHEMBL4523582,5.041914151478915,Low (1–10 µM)
CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)C2CC2)cc1,2013,CHEMBL2442074,,5.04,IC50,nM,9100.0,IC50,uM,9.1,Main Protease (3CLpro),CHEMBL3927,5.040958607678906,Low (1–10 µM)
COC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,2013,CHEMBL2402692,,5.04,IC50,nM,9100.0,IC50,uM,9.1,Main Protease (3CLpro),CHEMBL3927,5.040958607678906,Low (1–10 µM)
COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,2012,CHEMBL2146517,METHYL TANSHINONATE,5.04,IC50,nM,9200.0,IC50,uM,9.2,Main Protease (3CLpro),CHEMBL3927,5.036212172654444,Low (1–10 µM)
O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,2005,CHEMBL188487,,5.03,IC50,nM,9400.0,IC50,uM,9.4,Main Protease (3CLpro),CHEMBL3927,5.026872146400302,Low (1–10 µM)
O=C(CSc1c[nH]c2ccc(Br)cc12)NCc1ccc(Cl)c(Cl)c1,2021,CHEMBL4874978,,5.01,IC50,nM,9770.0,IC50,uM,9.77,RdRp (nsp12),CHEMBL4523582,5.0101054362812265,Low (1–10 µM)
COc1ccccc1CNC(=O)CSc1cn(C)c2ccccc12,2021,CHEMBL4851261,,5.01,IC50,nM,9820.0,IC50,uM,9.82,RdRp (nsp12),CHEMBL4523582,5.00788851221305,Low (1–10 µM)
CC(C)(C)NC(=O)C(c1ccnnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,2013,CHEMBL2311730,,5.0,IC50,nM,10000.0,IC50,uM,10.0,Main Protease (3CLpro),CHEMBL3927,5.0,Very Low (>10 µM)
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,2007,CHEMBL269277,BETULINIC ACID,5.0,IC50,nM,10000.0,IC50,uM,10.0,Main Protease (3CLpro),CHEMBL3927,5.0,Very Low (>10 µM)
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,2013,CHEMBL406516,,5.0,IC50,nM,10000.0,IC50,uM,10.0,Main Protease (3CLpro),CHEMBL3927,5.0,Very Low (>10 µM)
COc1cccc(NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)c1,2013,CHEMBL2402685,,5.0,IC50,nM,10000.0,IC50,uM,10.0,Main Protease (3CLpro),CHEMBL3927,5.0,Very Low (>10 µM)
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,2021,CHEMBL231813,TELAPREVIR,,IC50,nM,10000.0,IC50,uM,10.0,RdRp (nsp12),CHEMBL4523582,5.0,Very Low (>10 µM)
Cc1oc(C(C)(C)C)cc1-c1cc(NS(=O)(=O)c2cccs2)[nH]n1,2006,CHEMBL212190,,5.0,IC50,nM,10000.0,IC50,uM,10.0,Main Protease (3CLpro),CHEMBL3927,5.0,Very Low (>10 µM)
Cn1nc(-c2ccc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)s2)cc1C(F)(F)F,2006,CHEMBL377150,,5.0,IC50,nM,10000.0,IC50,uM,10.0,Main Protease (3CLpro),CHEMBL3927,5.0,Very Low (>10 µM)
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,2021,CHEMBL2402501,,,IC50,nM,10000.0,IC50,uM,10.0,RdRp (nsp12),CHEMBL4523582,5.0,Very Low (>10 µM)
COc1ccccc1CNC(=O)CSc1c[nH]c2cc(Br)ccc12,2021,CHEMBL4852238,,5.0,IC50,nM,10010.0,IC50,uM,10.01,RdRp (nsp12),CHEMBL4523582,4.999565922520682,Very Low (>10 µM)
CC(C)COC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,2013,CHEMBL2442061,,4.99,IC50,nM,10300.0,IC50,uM,10.3,Main Protease (3CLpro),CHEMBL3927,4.987162775294828,Very Low (>10 µM)
N#Cc1c(-c2cccc([N+](=O)[O-])c2)nc(SCc2ccc([N+](=O)[O-])cc2)[nH]c1=O,2010,CHEMBL1082332,,4.97,IC50,nM,10600.0,IC50,uM,10.6,Main Protease (3CLpro),CHEMBL3927,4.97469413473523,Very Low (>10 µM)
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,2012,CHEMBL215254,TANSHINONE IIB,4.97,IC50,nM,10700.0,IC50,uM,10.7,Main Protease (3CLpro),CHEMBL3927,4.97061622231479,Very Low (>10 µM)
COc1ccccc1CNC(=O)CSc1c[nH]c2ccc(Br)cc12,2021,CHEMBL4854494,,4.97,IC50,nM,10720.0,IC50,uM,10.72,RdRp (nsp12),CHEMBL4523582,4.969805214643249,Very Low (>10 µM)
CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccc(Cl)cc2)n1,2006,CHEMBL210092,,4.96,IC50,nM,11000.0,IC50,uM,11.0,Main Protease (3CLpro),CHEMBL3927,4.958607314841775,Very Low (>10 µM)
CC(=O)Nc1ccc(N(C(=O)Cn2cc(-c3ccccc3)nn2)C(C(=O)NC(C)(C)C)c2ccsc2)cc1,2013,CHEMBL2442080,,4.96,IC50,nM,11000.0,IC50,uM,11.0,Main Protease (3CLpro),CHEMBL3927,4.958607314841775,Very Low (>10 µM)
CCN(CC)c1ccc(C(=O)On2nnc3ccccc32)cc1,2013,CHEMBL2311691,,4.96,IC50,nM,11100.0,IC50,uM,11.1,Main Protease (3CLpro),CHEMBL3927,4.954677021213342,Very Low (>10 µM)
O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,2005,CHEMBL365469,,4.95,IC50,nM,11200.0,IC50,uM,11.2,Main Protease (3CLpro),CHEMBL3927,4.950781977329818,Very Low (>10 µM)
CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,2006,CHEMBL378674,,4.92,IC50,nM,12000.0,IC50,uM,12.0,Main Protease (3CLpro),CHEMBL3927,4.920818753952375,Very Low (>10 µM)
O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1,2006,CHEMBL380403,,4.92,IC50,nM,12000.0,IC50,uM,12.0,Main Protease (3CLpro),CHEMBL3927,4.920818753952375,Very Low (>10 µM)
Cn1cc(SCC(=O)N(Cc2ccccc2)Cc2ccccc2)c2ccccc21,2021,CHEMBL4864930,,4.91,IC50,nM,12300.0,IC50,uM,12.3,RdRp (nsp12),CHEMBL4523582,4.910094888560602,Very Low (>10 µM)
COc1ncc(-c2ccc(N(Cc3ccsc3)C(=O)Cn3nnc4ccccc43)cc2)cn1,2013,CHEMBL2442053,,4.9,IC50,nM,12500.0,IC50,uM,12.5,Main Protease (3CLpro),CHEMBL3927,4.903089986991944,Very Low (>10 µM)
NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,2006,CHEMBL348660,,4.9,IC50,nM,12500.0,IC50,uM,12.5,Main Protease (3CLpro),CHEMBL3927,4.903089986991944,Very Low (>10 µM)
O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,2005,CHEMBL191575,,4.9,IC50,nM,12570.0,IC50,uM,12.57,Main Protease (3CLpro),CHEMBL3927,4.900664722314042,Very Low (>10 µM)
C=C(Cc1cccc(C)c1)C1=CC=C(c2ccc(C)cc2)C1,2013,CHEMBL2311693,,4.89,IC50,nM,13000.0,IC50,uM,13.0,Main Protease (3CLpro),CHEMBL3927,4.886056647693163,Very Low (>10 µM)
Cc1ccc(S(=O)(=O)c2nc(C)c([N+](=O)[O-])c(C)c2C#N)cc1,2006,CHEMBL211969,,4.89,IC50,nM,13000.0,IC50,uM,13.0,Main Protease (3CLpro),CHEMBL3927,4.886056647693163,Very Low (>10 µM)
Cc1nc(S(=O)(=O)c2ccccc2)c(C#N)c(C)c1[N+](=O)[O-],2006,CHEMBL212504,,4.89,IC50,nM,13000.0,IC50,uM,13.0,Main Protease (3CLpro),CHEMBL3927,4.886056647693163,Very Low (>10 µM)
O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,2005,CHEMBL426082,,4.88,IC50,nM,13110.0,IC50,uM,13.11,Main Protease (3CLpro),CHEMBL3927,4.8823973083099155,Very Low (>10 µM)
CC(C)(C)C(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,2013,CHEMBL2442065,,4.88,IC50,nM,13300.0,IC50,uM,13.3,Main Protease (3CLpro),CHEMBL3927,4.876148359032914,Very Low (>10 µM)
O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,2005,CHEMBL185698,,4.87,IC50,nM,13500.0,IC50,uM,13.5,Main Protease (3CLpro),CHEMBL3927,4.8696662315049934,Very Low (>10 µM)
COc1ccccc1NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,2013,CHEMBL2402686,,4.85,IC50,nM,14000.0,IC50,uM,14.0,Main Protease (3CLpro),CHEMBL3927,4.853871964321762,Very Low (>10 µM)
Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1,2006,CHEMBL209227,,4.85,IC50,nM,14000.0,IC50,uM,14.0,Main Protease (3CLpro),CHEMBL3927,4.853871964321762,Very Low (>10 µM)
O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,2006,CHEMBL210097,,4.82,IC50,nM,15000.0,IC50,uM,15.0,Main Protease (3CLpro),CHEMBL3927,4.823908740944319,Very Low (>10 µM)
CSc1[nH]nc(NC(=O)c2cccs2)c1S(=O)(=O)c1ccccc1,2006,CHEMBL378700,,4.82,IC50,nM,15000.0,IC50,uM,15.0,Main Protease (3CLpro),CHEMBL3927,4.823908740944319,Very Low (>10 µM)
O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1,2006,CHEMBL384739,,4.82,IC50,nM,15000.0,IC50,uM,15.0,Main Protease (3CLpro),CHEMBL3927,4.823908740944319,Very Low (>10 µM)
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,2021,CHEMBL186141,ANDROGRAPHOLIDE,4.82,IC50,nM,15000.0,IC50,uM,15.0,RdRp (nsp12),CHEMBL4523582,4.823908740944319,Very Low (>10 µM)
O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,2006,CHEMBL209667,,4.82,IC50,nM,15000.0,IC50,uM,15.0,Main Protease (3CLpro),CHEMBL3927,4.823908740944319,Very Low (>10 µM)
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,2008,CHEMBL258787,,4.82,IC50,nM,15000.0,IC50,uM,15.0,Main Protease (3CLpro),CHEMBL3927,4.823908740944319,Very Low (>10 µM)
O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1,2006,CHEMBL208763,,4.82,IC50,nM,15000.0,IC50,uM,15.0,Main Protease (3CLpro),CHEMBL3927,4.823908740944319,Very Low (>10 µM)
CC(C)C[C@@H]1NC(=O)[C@@H](NC(=O)OCc2ccccc2)Cc2cn(nn2)CCCNC(=O)CC[C@@H](C=O)NC1=O,2013,CHEMBL2397338,,4.81,IC50,nM,15500.0,IC50,uM,15.5,Main Protease (3CLpro),CHEMBL3927,4.809668301829708,Very Low (>10 µM)
CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,2021,CHEMBL9470,SHIKONIN,4.8,IC50,nM,15739.83,pIC50,,4.803,RdRp (nsp12),CHEMBL4523582,4.802999962603423,Very Low (>10 µM)
CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,2006,CHEMBL377253,,4.8,IC50,nM,16000.0,IC50,uM,16.0,Main Protease (3CLpro),CHEMBL3927,4.795880017344075,Very Low (>10 µM)
CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,2006,CHEMBL212019,,4.8,IC50,nM,16000.0,IC50,uM,16.0,Main Protease (3CLpro),CHEMBL3927,4.795880017344075,Very Low (>10 µM)
O=C(O)c1ccc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1,2006,CHEMBL212240,,4.8,IC50,nM,16000.0,IC50,uM,16.0,Main Protease (3CLpro),CHEMBL3927,4.795880017344075,Very Low (>10 µM)
CCOC(=O)/C(C#N)=C/Nc1ccc(S(=O)(=O)c2ccc(/N=C/C(C#N)=C(\O)OCC)cc2)cc1,2006,CHEMBL215732,,4.8,IC50,nM,16000.0,IC50,uM,16.0,Main Protease (3CLpro),CHEMBL3927,4.795880017344075,Very Low (>10 µM)
N#Cc1c(-c2ccc(Cl)cc2)nc(SCCc2ccccc2)[nH]c1=O,2010,CHEMBL1086234,,4.77,IC50,nM,16900.0,IC50,uM,16.9,Main Protease (3CLpro),CHEMBL3927,4.772113295386326,Very Low (>10 µM)
Cc1cc2cc(CN(CCc3ccccc3C)C(=O)NCc3ccccc3)c(=O)[nH]c2cc1C,2008,CHEMBL495231,,4.76,IC50,nM,17200.0,IC50,uM,17.2,Main Protease (3CLpro),CHEMBL3927,4.764471553092451,Very Low (>10 µM)
O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,2005,CHEMBL370923,,4.76,IC50,nM,17500.0,IC50,uM,17.5,Main Protease (3CLpro),CHEMBL3927,4.756961951313706,Very Low (>10 µM)
CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N,2006,CHEMBL212399,,4.75,IC50,nM,18000.0,IC50,uM,18.0,Main Protease (3CLpro),CHEMBL3927,4.7447274948966935,Very Low (>10 µM)
O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1.[Br-],2006,CHEMBL215733,,4.75,IC50,nM,18000.0,IC50,uM,18.0,Main Protease (3CLpro),CHEMBL3927,4.7447274948966935,Very Low (>10 µM)
O=C(CSc1nc(C2CCCCC2)nc2ccccc12)NCc1ccco1,2008,CHEMBL523052,,4.74,IC50,nM,18200.0,IC50,uM,18.2,Main Protease (3CLpro),CHEMBL3927,4.739928612014925,Very Low (>10 µM)
CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,2006,CHEMBL379727,,4.72,IC50,nM,19000.0,IC50,uM,19.0,Main Protease (3CLpro),CHEMBL3927,4.721246399047171,Very Low (>10 µM)
CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(N)cc1,2013,CHEMBL2440138,,,IC50,nM,20000.0,IC50,uM,20.0,Main Protease (3CLpro),CHEMBL3927,4.698970004336019,Very Low (>10 µM)
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,2021,CHEMBL163,RITONAVIR,,IC50,nM,20000.0,IC50,uM,20.0,RdRp (nsp12),CHEMBL4523582,4.698970004336019,Very Low (>10 µM)
O=C(N[C@@H](Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F)OCc1ccccc1,2008,CHEMBL409422,,4.7,IC50,nM,20000.0,IC50,uM,20.0,Main Protease (3CLpro),CHEMBL3927,4.698970004336019,Very Low (>10 µM)
Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],2006,CHEMBL375130,,4.7,IC50,nM,20000.0,IC50,uM,20.0,Main Protease (3CLpro),CHEMBL3927,4.698970004336019,Very Low (>10 µM)
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,2021,CHEMBL286722,,,IC50,nM,20000.0,IC50,uM,20.0,RdRp (nsp12),CHEMBL4523582,4.698970004336019,Very Low (>10 µM)
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,2021,CHEMBL729,LOPINAVIR,,IC50,nM,20000.0,IC50,uM,20.0,RdRp (nsp12),CHEMBL4523582,4.698970004336019,Very Low (>10 µM)
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,2021,CHEMBL590799,CAMOSTAT,,IC50,nM,20000.0,IC50,uM,20.0,RdRp (nsp12),CHEMBL4523582,4.698970004336019,Very Low (>10 µM)
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,2021,CHEMBL20210,RUPINTRIVIR,,IC50,nM,20000.0,IC50,uM,20.0,RdRp (nsp12),CHEMBL4523582,4.698970004336019,Very Low (>10 µM)
CC(C)C[C@@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,2021,CHEMBL288365,,,IC50,nM,20000.0,IC50,uM,20.0,RdRp (nsp12),CHEMBL4523582,4.698970004336019,Very Low (>10 µM)
COc1ccc(-c2nc(SCCc3ccccc3)[nH]c(=O)c2C#N)cc1,2010,CHEMBL1082714,,4.69,IC50,nM,20300.0,IC50,uM,20.3,Main Protease (3CLpro),CHEMBL3927,4.692503962086787,Very Low (>10 µM)
CN(Cc1ccccc1)C(=O)CSc1c[nH]c2c(Br)cccc12,2021,CHEMBL4854368,,4.68,IC50,nM,20890.0,IC50,uM,20.89,RdRp (nsp12),CHEMBL4523582,4.680061560019691,Very Low (>10 µM)
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,2013,CHEMBL2402501,,4.68,IC50,nM,21000.0,IC50,uM,21.0,Main Protease (3CLpro),CHEMBL3927,4.6777807052660805,Very Low (>10 µM)
CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,2012,CHEMBL45830,MILTIRONE,4.68,IC50,nM,21100.0,IC50,uM,21.1,Main Protease (3CLpro),CHEMBL3927,4.675717544702307,Very Low (>10 µM)
O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CCCCC1,2013,CHEMBL2442062,,4.66,IC50,nM,22100.0,IC50,uM,22.1,Main Protease (3CLpro),CHEMBL3927,4.655607726314889,Very Low (>10 µM)
CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)C(C)(C)C)cc1,2013,CHEMBL2442075,,4.65,IC50,nM,22500.0,IC50,uM,22.5,Main Protease (3CLpro),CHEMBL3927,4.647817481888637,Very Low (>10 µM)
Cc1ccccc1C(=O)NC(C)c1ccc2ccccc2c1,2021,CHEMBL562121,,4.63,IC50,nM,23500.0,IC50,uM,23.5,RdRp (nsp12),CHEMBL4523582,4.628932137728263,Very Low (>10 µM)
